Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
3.72,13,-58201,CH3CH(NF2)CHCH3,,,(E)-2-C4H8,NF2,
2.41,24,-56871,CH3CH(NF2)CHCH3,,,(E)-2-C4H8,NF2,
4.37,-5,-57702,CH3CH(NF2)CHCH3,,,(Z)-2-C4H8,NF2,
7.41,13,-59448,CH3CH(NF2)CHCH3,,,(Z)-2-C4H8,NF2,
2.41,24,-56871,CH3CH(NF2)CHCH3,,,(Z)-2-C4H8,NF2,
4.47,-9,-31761,C2H5CHCH2NF2,,,1-C4H8,NF2,
4.79,11,-48557,C2H5CHCH2NF2,,,1-C4H8,NF2,
7.59,22,-43069,C2H5CHCH2NF2,,,1-C4H8,NF2,
4.8,-12,,FC(O)OO,,,O2,FC(O)O(.),FC(O)O(.)
,,,FC(O)OO,,,O2,FC(O)O(.),FC(O)O(.)
1.2,-12,,FC(O)OO,,,FC(O)OO(O)CF,O2,
,,,FC(O)OO,,,FC(O)OO(O)CF,O2,
2.51,-12,2378,FC(O)OO,,,Other Products,O2,
,,,HOOCH2O,,,HC(O)OOH,H(.),
,,,HOOCH2O,,,CH2O,HO2,
1.28,12,-56484,HOOCH2O,,,CH2O,HO2,
1.0,15,-225518,CH2FC((.))F2,,,(.)CF2,(.)CH2F,
3.09,14,-217839,"Bicyclo[2.2.2]oct-5-ene-2-carbonitrile, 3-methyl-,(1α,2α,3α,4α)-(endo,endo)",,,"1,3-Cyclohexadiene",(Z)-CH3CH=CHCN,
4.57,13,-236962,"Bicyclo[2.2.2]oct-5-ene-2-carbonitrile, 3-methyl-,(1α,2α,3α,4α)-(endo,endo)",,,Other Products,C2H4,
6.92,14,-223659,"Bicyclo[2.2.2]oct-5-ene-2-carbonitrile, 3-methyl-,(1α,2β,3β,4α)-(exo,exo)",,,"1,3-Cyclohexadiene",(Z)-CH3CH=CHCN,
2.82,14,-246940,"Bicyclo[2.2.2]oct-5-ene-2-carbonitrile, 3-methyl-,(1α,2β,3β,4α)-(exo,exo)",,,Other Products,C2H4,
1.45,14,-223659,"Bicyclo[2.2.2]oct-5-ene-2-carbonitrile, 3-methyl-,(1α,2α,3β,4α)-(endo,exo)",,,"1,3-Cyclohexadiene",(E)-CH3CH=CHCN,
3.39,13,-235300,"Bicyclo[2.2.2]oct-5-ene-2-carbonitrile, 3-methyl-,(1α,2α,3β,4α)-(endo,exo)",,,Other Products,C2H4,
2.29,14,-222828,"Bicyclo[2.2.2]oct-5-ene-2-carbonitrile, 3-methyl-,(1α,2β,3α,4α)-(exo,endo)",,,"1,3-Cyclohexadiene",(E)-CH3CH=CHCN,
2.75,14,-243614,"Bicyclo[2.2.2]oct-5-ene-2-carbonitrile, 3-methyl-,(1α,2β,3α,4α)-(exo,endo)",,,Other Products,C2H4,
8.91,11,-152155,(E)-CH3CH=CHCH2SCH2C≡CH,,,CH2=C=CH2,CH3CH=CHCHS,
3.63,11,-152155,(E)-CH3CH=CHCH2SCH2C≡CH,,,1-C4H8,CH≡CCHS,
1.29,13,-163795,(E)-CH3CH=CHCH2SCH2C≡CH,,,Products,,
5.89,10,-138852,(E)-CH3CH=CHCH2SCH2CH=CH2,,,CH3CH=CH2,CH3CH=CHCHS,
3.89,10,-139683,(E)-CH3CH=CHCH2SCH2CH=CH2,,,1-C4H8,CH2=CHCH=S,
1.23,11,-141346,(E)-CH3CH=CHCH2SCH2CH=CH2,,,Products,,
,,,"1,4-Dicyclopropylbuta-1,3-diyne",,,Products,,
3.2,12,,CHClFO(.),,,CHClFO(.),,
1.5,12,,CHClFO(.),,,ClCO,HF,
1.6,12,,CHClFO(.),,,HC(O)Cl,(.)F,
1.6,13,,CHClFO(.),,,HFCO,(.)Cl,
3.0,3,,CHClFO(.),,,HFCO,(.)Cl,
1.5,13,,CHClFO(.),,,COClF,H(.),
3.7,13,,CHClFO(.),,,Products,,
7.7,9,-39934,CH2ClO,,,HCO,HCl,
4.0,3,,CH2ClO,,,HCO,HCl,
6.0,2,,CH2ClO,,,HCO,HCl,
9.28,1,-32202,CH2FO(.),,,(.)CHFOH,,
3.61,10,-102501,CH2FO(.),,,HCO,HF,
3.3,11,-59457,CH2FO(.),,,HFCO,H(.),
1.05,13,-226985,"Phenol, 2-(2-chloroethyl)-",,,"Phenol, 2-ethenyl-",HCl,
3.8,12,-218710,"Phenol, 2-(2-chloroethyl)-",,,"Phenol, 2-ethenyl-",HCl,
5.25,13,-224491,"Phenol, 2-(2-chloroethyl)-",,,"Benzofuran, 2,3-dihydro",HCl,
1.9,13,-209150,"Phenol, 2-(2-chloroethyl)-",,,"Benzofuran, 2,3-dihydro",HCl,
7.08,13,-225322,"Phenol, 2-(2-chloroethyl)-",,,Other Products,HCl,
,,,3-C8H17,,,3-C8H17,,
,,,3-C8H17,,,4-C8H17,,
,,,3-C8H17,,,1-C8H17,,
2.51,9,-46894,3-C8H17,,,2-C8H17,,
6.17,8,-48116,3-C8H17,,,2-C8H17,,
,,,3-C8H17,,,1-C7H14,(.)CH3,
3.72,19,-250266,H2Si((.))OH,,,H2,((.))Si(O)H,
3.16,13,-217839,(CH33SiCH(OCH3)CH3,,,(CH3)3SiOCH3,CH3CH,
1.95,20,-174604,:Si(OH)2,,,H2O,SiO,
5.0,-2,,CF3CH2CHCl,,,Other Products,CF3CH2CH2Cl,
5.89,11,-160469,"Benzene, 1-chloro-4-[1-(1-methylethoxy)ethenyl]-",,,"Ethanone, 1-(4-chlorophenyl)-",CH3CH=CH2,
1.58,13,-186244,2-Thiophenecarboxylic acid 1-methylethyl ester,,,CH3CH=CH2,2-Thiophenecarboxylic acid,
,,,(CH3)2CH(CH2)2C≡CD,,,Products,,
1.35,-12,,CFCl2CFCl,,,Products,,
3.98,13,-48557,"Silacyclopropane, 2,3-dimethyl-",,,C2H5CH(CH3)SiH,,
3.0,4,-48141,"Silacyclopropane, 2,3-dimethyl-",,,CH3CH=CHCH3,SiH2,
7.94,17,-96448,"Silacyclopropane, 2,3-dimethyl-",,,CH3CH=CHCH3,SiH2,
7.94,11,-43900,C2H5CH(CH3)SiH,,,"Silacyclopropane, 2,3-dimethyl-",,
,,,HP=S,,,PSH,,
4.0,13,-38247,CCl3O,,,COCl2,(.)Cl,
4.0,13,-38247,CCl3O,,,COCl2,(.)Cl,
4.0,13,-38247,CCl3O,,,COCl2,(.)Cl,
1.0,5,,CCl3O,,,COCl2,(.)Cl,
1.0,5,,CCl3O,,,COCl2,(.)Cl,
1.0,16,,CCl3O,,,COCl2,(.)Cl,
6.31,10,-160469,"Cyclobutane, 2-ethenyl-1,1-dimethyl-",,,(Z)-CH3CH=CH(CH2)2C(CH3)=CH2,,
3.39,12,-185413,"Cyclobutane, 2-ethenyl-1,1-dimethyl-",,,"Cyclohexene, 4,4-dimethyl-",,
1.75,12,-187907,"Cyclobutane, 2-ethenyl-1,1-dimethyl-",,,CH2=CH(CH2)3C(CH3)=CH2,,
1.22,15,-199547,"Cyclobutane, 2-ethenyl-1,1-dimethyl-",,,"1,3-Butadiene",Isobutene,
2.67,14,-191233,"Cyclobutane, 2-ethenyl-1,1-dimethyl-",,,Products,,
1.8,24,-208693,CH=CHCH=CHC≡CH,,,H(.),(E)-HC≡CCH=CHC≡CH,
6.24,15,-124717,CH=CHCH=CHC≡CH,,,Phenyl,,
1.66,11,-68428,CH=CHCH=CHC≡CH,,,Phenyl,,
1.69,26,-240288,CH=CHCH=CHC≡CH,,,C2H2,HCCCHCH(.),
2.2,12,-125549,HOCH=CH,,,C2H2,(.)OH,
2.7,13,-169615,"Pyrimidine, 2-(1,1-dimethylethoxy)-",,,Isobutene,2(1H)-Pyrimidinone,
6.31,12,-185413,"Acetamide, N-acetyl-N-phenyl-",,,N-Phenylacetamide,H2C=C=O,
6.31,12,-156312,"Silane, (3,3-dimethyl-1-cyclopropen-1-yl)trimethyl-",,,(CH3)3SiC≡CCH(CH3)2,E-(CH3)3SiCH=CHC(CH3)=CH2,
3.01,12,-45231,Carbonothioic acid O-ethyl S-(4-nitrophenyl) ester,,,Other Products,C2H4,
2.32,12,-45231,Carbonothioic acid S-(3-chlorophenyl) O-ethyl ester,,,Other Products,C2H4,
3.1,12,-45730,Carbonothioic acid S-(4-chlorophenyl) O-ethyl ester,,,Other Products,C2H4,
2.49,12,-45896,Carbonothioic acid O-ethyl S-(2-meyhoxyphenyl) ester,,,Other Products,C2H4,
5.3,13,-48900,HOCH2C(&middot)O,,,CO,((.))CH2OH,
3.0,4,,HOCH2C(&middot)O,,,CO,CH3O(.),
1.58,16,-309298,(CH3)3SiCH2C(CH3)3,,,Neopentyl,(CH3)3Si(.),
8.71,7,-147998,(CH3)2Ga,,,(.)CH3,CH3Ga,
1.6,20,-306962,(CH3)2Ga,,,(.)CH3,CH3Ga,
6.0,4,,(Z)-Cr(CO)4(C2H4)2,,,C2H4,Cr(CO)4(C2H4),
6.0,4,,(Z)-Cr(CO)4(C2H4)2,,,C2H4,Cr(CO)4(C2H4),
6.0,4,,(Z)-Cr(CO)4(C2H4)2,,,C2H4,Cr(CO)4(C2H4),
1.05,15,-247771,"bicyclo[2.2.2]oct-2-ene,5-(1-methylethyl)-,(1α,4α,5α)-",,,(CH3)2CHCH=CH2,"1,3-Cyclohexadiene",
6.76,14,-246940,"bicyclo[2.2.2]oct-2-ene,5-(1-methylethyl)-,(1α,4α,5α)-",,,C2H4,"1,3-Cyclohexadiene, 5-(1-methylethyl)-",
1.29,15,-246940,"bicyclo[2.2.2]oct-2-ene, 5-ethyl-,(1α,4α,5α)-",,,1-C4H8,"1,3-Cyclohexadiene",
2.88,15,-250266,"bicyclo[2.2.2]oct-2-ene, 5-ethyl-,(1α,4α,5α)-",,,C2H4,"1,3-Cyclohexadiene. 5-ethyl-",
1.66,15,-244445,"bicyclo[2.2.2]oct-2-ene, 5-ethyl-,(1α,4α,5β)-",,,1-C4H8,"1,3-Cyclohexadiene",
8.71,14,-241120,"bicyclo[2.2.2]oct-2-ene, 5-ethyl-,(1α,4α,5β)-",,,C2H4,"1,3-Cyclohexadiene. 5-ethyl-",
1.8,-1,,CD3O2(.),,,O2,CD3O-OCD3,
1.1,15,-240288,"Bicyclo[2.2.2]oct-2-ene, 5-(1-methylethyl)-,(1α,4α,5β)-",,,(CH3)2CHCH=CH2,"1,3-Cyclohexadiene",
1.35,15,-241951,"Bicyclo[2.2.2]oct-2-ene, 5-(1-methylethyl)-,(1α,4α,5β)-",,,C2H4,"1,3-Cyclohexadiene, 5-(1-methylethyl)-",
5.01,11,-175435,CH3O(n-C3H7)(CH3)SiSi(CH3)3,,,(CH3)3SiOCH3,(n-C3H7)(CH3)Si,
3.6,3,,(Z)-Fe(CO)2(C2H4)3,,,Other Products,C2H4,
1.2,3,,(E)-Fe(CO)2(C2H4)3,,,Other Products,C2H4,
2.75,14,-196222,"Disulfide 1,1-dimethylethyl 4-chlorophenyl",,,Isobutene,"Benzenesulfenothioic acid, p-chloro-",
3.47,10,-143840,CH2=CHCH2SCH2C(CH3)3,,,CH3CH=CH2,(CH3)3CCHS,
1.23,11,-141346,CH2=CHCH2SCH(CH3)CN,,,Products,,
1.58,10,-128874,CH2=CHCH2SCH2CN,,,CH3CH=CH2,N≡CCHS,
2.0,12,-163795,(E)-CF3CF=CFCF=CF2,,,"Cyclobutene, 1,2,3,3,4-pentafluoro-4-(trifluoromethyl)-",,
5.01,14,-207862,"Cyclobutene, 1,2,3,3,4-pentafluoro-4-(trifluoromethyl)-",,,(E)-CF3CF=CFCF=CF2,,
3.98,12,-153818,"Cyclobutene, 1,2,3,3,4-pentafluoro-4-(trifluoromethyl)-",,,(Z)-CF3CF=CFCF=CF2,,
1.58,11,-118897,(Z)-CF3CF=CFCF=CF2,,,"Cyclobutene, 1,2,3,3,4-pentafluoro-4-(trifluoromethyl)-",,
7.94,11,-175435,"(E,E)-(C2F5CF=CF)2",,,"Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(pentafluoromethyl)-, trans-",,
3.98,13,-187076,"Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(pentafluoromethyl)-, trans-",,,"(E,E)-(C2F5CF=CF)2",,
7.94,11,-113077,"Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(pentafluoromethyl)-, trans-",,,"(Z,Z)-(C2F5CF=CF)2",,
1.26,10,-98111,"(Z,Z)-(C2F5CF=CF)2",,,"Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(pentafluoromethyl)-, trans-",,
5.12,-6,-53944,Cl(ClO2),,,ClO,ClO,
5.12,-6,-53944,Cl(ClO2),,,ClO,ClO,
5.55,16,-53828,Cl(ClO2),,,ClO,ClO,
5.55,16,-53828,Cl(ClO2),,,ClO,ClO,
9.15,15,-317280,CBr3OBr,,,CBr3,BrO,
3.21,15,-169948,CBr3OBr,,,CBr3O(&middot),Br(.),
6.98,12,-184581,"Benzyl alcohol, p-iodo-α-methyl-, acetate",,,CH3C(O)OH,"Benzene, 1-ethenyl-4-iodo-",
3.15,17,-454300,"1,4-Cyclopentadien-1-ol",,,"2,4-cyclopentadienoxy",H(.),
,,,"1,4-Cyclopentadien-1-ol",,,hydroxycyclopentadienyl radical,H(.),
3.01,17,-304700,"1,4-Cyclopentadien-1-ol",,,hydroxycyclopentadienyl radical,H(.),
,,,2-Oxaziridinol,,,Products,,
1.17,12,-150492,"Cyclopropane, 3-ethenyl-1,1,2,2-tetramethyl-",,,CH2=C=CHC(CH3)2C(CH3)=CH2,,
3.5,6,,CD3S(OH)CD3,,,(CD3)2S,(.)OH,
9.51,5,,CD3S(OH)CD3,,,(CD3)2S,(.)OH,
,,,C6H14N2Si,,,C6H14N2Si,,
5.99,-14,,(CH3)2CHCH(CH3)CH2OO(.),,,"Butanal, 2,3-dimethyl-",O2,"1-Butanol, 2,3-dimethyl-"
5.6,-1,,(CH3)2CHCH(CH3)CH2OO(.),,,"Butanal, 2,3-dimethyl-",O2,"1-Butanol, 2,3-dimethyl-"
4.0,-14,,(CH3)2CHCH(CH3)CH2OO(.),,,(CH3)2CHCH(CH3)CH2O(.),(CH3)2CHCH(CH3)CH2O(.),O2
1.87,10,-63597,(CH3)2CHCH(CH3)CH2OO(.),,,(CH3)2C((.))CH(CH3)CH2OOH,,
1.0,11,-178761,"Silacyclopent-3-ene, 1,3,4-trimethyl-1-(2-propenyl)-",,,CH3CH=CH2,"Silacyclopenta-2,4-diene, 1,3,4-trimethyl-",
3.77,-5,,SSF2,,,FSSF,,
8.55,-5,,SSF2,,,FSSF,,
6.77,-1,-24110,SSF2,,,FSSF,,
,,,(CH3)3SiSi(CH3)(OCH2CH=CH2)2,,,Products,,
5.83,1,-16463,BrCH=CH,,,C2H2,Br(.),
1.26,12,-162132,"Benzenamine, N-2-propenyl-N-2-propynyl-",,,Products,,
1.66,-10,-187076,"[5,6]-Fullerene-C60",,,Products,,
,,,PtH2,,,H2,Pt,
3.89,-13,-193977,CH3Ga,,,(.)CH3,Ga,
8.91,12,-175435,CH2=CHCH2CH2OSO2CH3,,,HOSO2CH3,"1,3-Butadiene",
5.0,-14,,PbI3,,,PbI2,I,
7.08,10,-142177,CH3CH2SCH2SCH2CH=CH2,,,Products,,
5.81,-11,,(Z)-CH3CH=CHCH2(.),,,"(Z,Z)-(CH3CH=CHCH2)2",,
3.98,14,-206199,t-C4H9CH2N(O)=NOCH3,,,Products,,
2.19,12,-153600,t-C4H9C(N(O)=NOCH3,,,Isobutene,CO,NH3
2.0,13,-147998,t-C4H9C(N(O)=NOCH3,,,Products,,
3.31,11,-167121,CH3SO3CH2CH2OCH2CH3,,,HOSO2CH3,CH2=CHOC2H5,
1.2,1,,Cyclopentene 4-d,,,H2,"1,3-Cyclopentadiene-5-d",
,,,"Azetidine, 1,3,3-trinitro-",,,NO2,H2C=N,CH2=C(NO2)2
,,,"Azetidine, 1,3,3-trinitro-",,,CH2=C=CH2,NO2,NO2
,,,"Azetidine, 1,3,3-trinitro-",,,CH2=C=CH2,NO2,NO2
9.12,13,-165458,"Azetidine, 1,3,3-trinitro-",,,Products,,
,,,"Azetidine, 1,3,3-trinitro-",,,trans-HONO,"2,3-dihydro-3,3-dinitroazete",
,,,"Azetidine, 1,3,3-trinitro-",,,trans-HONO,"1,2-dihydro-1,3-dinitroazete",
,,,"Azetidine, 1,3,3-trinitro-",,,CH2=CNO2,NO2,H2C=NNO2
2.05,16,-154799,"Azetidine, 1,3,3-trinitro-",,,cyc-N((.))CH2C(NO2)2CH2,NO2,
2.57,16,-160004,"Azetidine, 1,3,3-trinitro-",,,cyc-C((.))(NO2)CH2N(NO2)CH2,NO2,
1.85,13,-187026,"Azetidine, 1,3,3-trinitro-",,,cyc-CH2N=CHC(NO2)2,HNO2,
2.73,13,-179351,"Azetidine, 1,3,3-trinitro-",,,cyc-CH2N(NO2)CH=C(NO2),HNO2,
2.15,13,-179160,"Azetidine, 1,3,3-trinitro-",,,((.))CH2N(NO2)CH2C((.))(NO2)2,,
,,,"Azetidine, 1,3,3-trinitro-",,,CH2=NC(:)NO2,NO2,NO2
2.15,17,-89796,((.))Si(O)H,,,SiO,H(.),
3.0,-1,,"1H-Pyrazole, 1-(2-chloroethyl)-",,,CH2=CHCl,Pyrazole,
1.58,16,-220334,(CH3)3SiSiH3,,,(CH3)3SiH,SiH2,
3.02,14,-201210,(CH3)3SiSiH3,,,(CH3)3SiH,SiH2,
6.59,12,-81898,CHF2CH:,,,CH2=CF2,,
3.31,12,-133032,(CH3)2C(NO2)N(O)NF,,,CH3C(NO2)=CH2,HF,N2O
,,-100000,(CH3)3CCH2CH2(.),,,C2H4,tert-C4H9,
9.21,9,-69036,(CH3)3CCH2CH2(.),,,"2,2-methylbutan-1-yl",,
4.42,-8,-26390,CF3OCF2((.)),,,COF2,(.)CF3,
2.43,13,-34730,CF3OCF2((.)),,,COF2,(.)CF3,
9.8,11,-30032,CF3OCF2((.)),,,COF2,(.)CF3,
2.39,11,-28419,CF3OCF2((.)),,,COF2,(.)CF3,
2.0,12,-119728,(CH3)3SiSiH=CH2,,,(CH3)3SiCH2Si(H):,,
3.16,13,-169615,(CH3)3SiSiH=CH2,,,(CH3)3SiSi(CH3),,
3.98,12,-144672,(CH3)3SiCH2Si(H):,,,"Disilacyclopropane,1,1,2-trimethyl-",,
3.16,13,-136357,(CH3)3SiCH2Si(H):,,,"1,3-Disilacylobutane,1,1-dimethyl-",,
3.98,12,-94785,(CH3)2SiHCH2Si(CH3):,,,"Disilacyclopropane,1,1,2-trimethyl-",,
3.16,13,-136357,(CH3)2SiHCH2Si(CH3):,,,"1,3-Disilacyclobutane,1,3-dimethyl-",,
3.0,13,-43651,CFCl2O,,,COClF,(.)Cl,
3.0,13,-43651,CFCl2O,,,COClF,(.)Cl,
3.0,4,,CFCl2O,,,COClF,(.)Cl,
2.47,5,-1796,CFCl2O,,,COClF,(.)Cl,
3.0,4,,CFCl2O,,,COClF,(.)Cl,
3.0,15,,CFCl2O,,,COClF,(.)Cl,
1.31,-2,,"Cyclopent-3-ene, 1,1-dichloro-3,4-dimethyl-1-sila-",,,CH3CH=CHCH=CHCH3,SiCl2,
5.01,13,-178900,C2H5OCH=CHN(C2H5)2,,,C2H4,(C2H5)2(CH3)N,CO
5.01,12,-193727,"Acetamide, N-acetyl-N-(4-nitrophenyl)-",,,"Acetamide, N-(4-nitrophenyl)-",H2C=C=O,
4.15,12,-128176,CH2=CH(CH2)3CH2OO((.)),,,CH2=CHCH2CH=CH2,HO2,
1.02,10,-50760,CH2=CHCH2CH2CH2OO(.),,,CH2=CHC((.))HCH2CH2OOH,,
,,,CF2(OH)2,,,HF,FC(O)OH,
8.49,13,-81149,"2,4-Cyclohexadienylperoxy, 6-hydroxy-",,,Phenol,HO2,
2.08,-10,-78655,"2,4-Cyclohexadienylperoxy, 6-hydroxy-",,,Adduct,,
3.16,14,-203705,CH3N(O)=NOCH3,,,Products,,
1.03,-29,-157800,DOC(O)(.),,,CO,OD,
1.81,1,-153751,DOC(O)(.),,,CO,OD,
1.4,-29,-157942,DOC(O)(.),,,CO2,D,
1.14,2,-151972,DOC(O)(.),,,CO2,D,
2.1,12,-103931,CD3C(O)OONO2,,,CO2,CD3ONO2,
1.26,14,-156312,"Cyclobutene, 1,2,3,4-tetramethyl-",,,"(E),(Z)-(CH3CH=C(CH3))2",,
7.18,13,-140515,"Cyclobutene, 1,2,3,4-tetramethyl-",,,Products,,
2.9,-3,-119670,CCl2=CCl,,,ClC≡CCl,(.)Cl,
3.15,-3,-120535,CCl2=CCl,,,ClC≡CCl,(.)Cl,
1.36,10,-94577,CCl2=CCl,,,ClC≡CCl,(.)Cl,
1.81,10,-93089,CCl2=CCl,,,ClC≡CCl,(.)Cl,
5.37,9,-95650,CCl2=CCl,,,ClC≡CCl,(.)Cl,
7.1,13,-113285,CCl2=CCl,,,ClC≡CCl,(.)Cl,
7.03,9,-89846,CCl2=CCl,,,ClC≡CCl,(.)Cl,
5.73,9,-93272,CCl2=CCl,,,ClC≡CCl,(.)Cl,
8.0,-12,,FC(O)O(.),,,Adduct,,
3.7,-12,,FC(O)O(.),,,FC(O)OOOC(O)F,,
7.01,-13,,FC(O)O(.),,,FC(O)OO(O)CF,,
7.01,-13,,FC(O)O(.),,,FC(O)OO(O)CF,,
5.5,-13,,FC(O)O(.),,,FC(O)OO(O)CF,,
2.31,-12,,FC(O)O(.),,,FC(O)OO(O)CF,,
1.57,23,,FC(O)O(.),,,CO2,(.)F,
4.47,-11,,CH3CH2C(O)OO,,,C2H5OCOCOOC2H5,O2,
,,,CH3CH2C(O)OO,,,C2H5OCOCOOC2H5,O2,
1.68,-11,,CH3CH2C(O)OO,,,Products,,
3.16,13,-251929,"Silacylohex-3-ene, 1-methyl-",,,"Silacyclopent-3-ene,1,1-dimethyl-",,
2.51,14,-251929,"Silacylohex-3-ene, 1-methyl-",,,"1,3-Butadiene",CH2=SiHCH3,
7.94,13,-161301,"3-Pentanol, 2,3,4-trimethyl acetate",,,Products,,
2.51,15,-212019,"Cyclobutene, 1,2,3,4-tetrafluoro-3,4,-bis(trifluoromethyl)-, trans-",,,"(E,E)-(CF3CF=CF)2",,
1.26,12,-121391,"Cyclobutene, 1,2,3,4-tetrafluoro-3,4,-bis(trifluoromethyl)-, trans-",,,"(Z,Z)-(CF3CF=CF)2",,
7.94,13,-159638,"Cyclobutene, 1,2,3,4-tetrafluoro-3,4-bis(trifluoromethyl)-, cis-",,,"(E,Z)-(CF3CF=CF)2",,
1.66,11,-138852,CH≡CCH2SCH2CH=CH2,,,Products,,
,,,"(E,Z)-1,3-Cycloheptadiene",,,Bicyclo[3.2.0]hept-6-ene,,
7.12,-9,-300152,SF3,,,SF2,(.)F,
1.58,16,-112245,CH2=C(CH3)C(O)OONO2,,,CH2=C(CH3)C(O)OO(.),NO2,
,,,O=CHCH2OO,,,Products,,
1.3,12,-82000,O=CHCH2OO,,,C(OOH)H2CO,,
1.11,16,-183782,CH2=CHO2,,,C2H3,O2,
2.0,-12,,CH3C(O)CH2OO(.),,,CH3C(O)CHO,CH3C(O)CH2OH,O2
2.01,-12,,CH3C(O)CH2OO(.),,,CH3C(O)CHO,CH3C(O)CH2OH,O2
2.01,-12,,CH3C(O)CH2OO(.),,,CH3C(O)CHO,CH3C(O)CH2OH,O2
8.0,-12,,CH3C(O)CH2OO(.),,,Products,,
8.3,-12,,CH3C(O)CH2OO(.),,,Products,,
8.3,-12,,CH3C(O)CH2OO(.),,,Products,,
8.0,-12,,CH3C(O)CH2OO(.),,,Products,,
8.3,-12,,CH3C(O)CH2OO(.),,,Products,,
6.0,-12,,CH3C(O)CH2OO(.),,,CH3C(O)CH2O(.),CH3C(O)CH2O(.),O2
5.99,-12,,CH3C(O)CH2OO(.),,,CH3C(O)CH2O(.),CH3C(O)CH2O(.),O2
5.99,-12,,CH3C(O)CH2OO(.),,,CH3C(O)CH2O(.),CH3C(O)CH2O(.),O2
7.5,-1,,CH3C(O)CH2OO(.),,,CH3C(O)CH2O(.),CH3C(O)CH2O(.),O2
7.5,-1,,CH3C(O)CH2OO(.),,,CH3C(O)CH2O(.),CH3C(O)CH2O(.),O2
,,,CH3C(O)CH2OO(.),,,HOOCH2C(O)C((.))H2,,
5.2,11,-136000,CH3C(O)CH2OO(.),,,HOOCH2C(O)C((.))H2,,
,,,CH3C(O)CH2OO(.),,,CH3C(O)C((.))HOOH,,
4.4,-12,,CF3CClHOO(.),,,Products,,
9.77,11,-67100,CH2CH2SH,,,CH3CH2S,,
3.02,13,-34600,CH2CH2SH,,,C2H4,SH,
1.58,13,-46062,CH2CH2SH,,,C2H4,SH,
1.31,-14,-1247,CHCl2CH2(.),,,Products,,
3.2,13,-108920,CHCl2CH2(.),,,CH2=CHCl,(.)Cl,
1.26,12,-122223,CH3CH2CH2SiH,,,Silacyclobutane,,
6.31,12,-125549,CH3CH2CH2SiH,,,CH3CH=CH2,SiH2,
2.68,-2,-106575,ClClO,,,ClO,(.)Cl,
6.78,-7,-74481,ClClO,,,ClO,(.)Cl,
7.59,14,-70399,ClClO,,,ClO,(.)Cl,
1.0,15,,"Ethane, 1,2-bis(3,5-dimethylphenyl)-",,,"3,5-dimethylbenzyl radical","3,5-dimethylbenzyl radical",
1.52,13,-79985,CH2FCH:,,,CH2=CHF,,
,,,Cu(hfac)(eta4-COD),,,"1,5-Cyclooctadiene (unspecified)",Cu(hfac),
3.35,-10,-4157,CH2=CHCH=CH(.),,,Adduct,,
1.6,14,-172941,CH2=CHCH=CH(.),,,Vinylacetylene,H(.),
1.0,14,-172941,CH2=CHCH=CH(.),,,Vinylacetylene,H(.),
1.0,14,-183750,CH2=CHCH=CH(.),,,C2H2,C2H3,
3.57,-8,-177098,CH2=CHCH=CH(.),,,C2H2,C2H3,
,,,ClN=NCl,,,N2,(.)Cl,(.)Cl
2.47,10,-175310,"2-Azido-N,N-Dimethylethanamine",,,CH2=CHN(CH3)2,HN3,
1.0,10,-153971,"2-Azido-N,N-Dimethylethanamine",,,3(CH3)2NCH2CH2N:,N2,
8.05,12,-159410,"2-Azido-N,N-Dimethylethanamine",,,(CH3)2NCH2CH=NH,N2,
1.01,11,-168197,"2-Azido-N,N-Dimethylethanamine",,,cyc-N(CH3)2CH2CH2N,N2,
1.2,12,-172381,"2-Azido-N,N-Dimethylethanamine",,,cyc-CH(N(CH3)2)CH2NH,N2,
1.96,18,-328026,"2-Azido-N,N-Dimethylethanamine",,,CH3N((.))CH2CH2N3,(.)CH3,
1.72,17,-328026,"2-Azido-N,N-Dimethylethanamine",,,(.)CH2CH2N3,(CH3)2N(.),
1.12,16,-294135,"2-Azido-N,N-Dimethylethanamine",,,(.)CH2N3,CH2N(CH3)2,
3.51,17,-309198,"2-Azido-N,N-Dimethylethanamine",,,(CH3)2NCH2CH2(.),(.)N3,
1.12,15,-376560,"2-Azido-N,N-Dimethylethanamine",,,(.)CH2N(CH3)CH2CH2N3,H(.),
8.06,14,-365263,"2-Azido-N,N-Dimethylethanamine",,,(CH3)2NCH((.))CH2N3,H(.),
1.15,15,-375723,"2-Azido-N,N-Dimethylethanamine",,,(CH3)2NCH2CH((.))N3,H(.),
,,,CH2(OH)NO,,,2-Oxaziridinol,,
,,,CH2(OH)NO,,,CH2O,HNO,
,,,CH2(OH)NO,,,Products,,
8.0,-1,4773,C2H5OC(O)OC2D5,,,Products,,
6.76,12,-197884,CH3C(O)OCH(CH3)CH2F,,,CH3C(O)OH,CH2=CHCH2F,
8.0,1,,(CF3)2C(CH3)O(.),,,CH3COCF3,(.)CF3,
1.6,9,-139000,"1,6-Octadiene, 5,7-dimethyl-, (r)-",,,Products,,
